345;ELE49;CBC;2-nov-20;Box;0;2;2;20;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_49\Mis_coordenadas_GPS_1603640204944.jpg;RegFotografico\I_49\20201025_103724.jpg;RegFotografico\I_49\20201025_103835.jpg;RegFotografico\I_49\20201025_103730.jpg;3.546225;-76.338625;PALMASECA - ROZO - EL CERRITO
346;ELE50;CBC;2-nov-20;Box;0;2;3;15;Agrietado;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_50\Mis_coordenadas_GPS_1603640026329.jpg;RegFotografico\I_50\20201025_103554.jpg;RegFotografico\I_50\20201025_103437.jpg;RegFotografico\I_50\20201025_103444.jpg;3.546316667;-76.33861944;PALMASECA - ROZO - EL CERRITO
349;ELE53;CBC;2-nov-20;TuboPasant;0.9;0;0;32;Agrietado;Sin comentarios;Indeterminado;FALSO;VERDADERO;Obstruido;FALSO;VERDADERO;Agrietado;FALSO;VERDADERO;Sin comentarios;RegFotografico\I_53\Mis_coordenadas_GPS_1603639201167.jpg;RegFotografico\I_53\20201025_102112.jpg;RegFotografico\I_53\20201025_102229.jpg;RegFotografico\I_53\20201025_102149.jpg;3.568725;-76.33207778;PALMASECA - ROZO - EL CERRITO
350;ELE54;CBC;2-nov-20;TuboPasant;0.9;0;0;18;Bueno;Sin comentarios;Indeterminado;FALSO;VERDADERO;Obstruido;FALSO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_54\Mis_coordenadas_GPS_1603638972056.jpg;RegFotografico\I_54\20201025_101659.jpg;RegFotografico\I_54\20201025_101737.jpg;RegFotografico\I_54\20201025_101707.jpg;3.577152778;-76.32896111;PALMASECA - ROZO - EL CERRITO
351;ELE55;CBC;2-nov-20;TuboPasant;0.9;0;0;20;Agrietado;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_55\Mis_coordenadas_GPS_1603638605013.jpg;RegFotografico\I_55\20201025_101203.jpg;RegFotografico\I_55\20201025_101232.jpg;RegFotografico\RegVacio.png;3.586372222;-76.32172778;PALMASECA - ROZO - EL CERRITO
352;ELE56;CBC;2-nov-20;Box;0;1;0.7;14;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_56\Mis_coordenadas_GPS_1603638347940.jpg;RegFotografico\I_56\20201025_100631.jpg;RegFotografico\I_56\20201025_100753.jpg;RegFotografico\I_56\20201025_100641.jpg;3.589555556;-76.31919167;PALMASECA - ROZO - EL CERRITO
353;ELE57;CBC;2-nov-20;TuboPasant;0.9;0;0;14;Bueno;Sin comentarios;Indeterminado;FALSO;VERDADERO;Obstruido;FALSO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_57\Mis_coordenadas_GPS_1603638104077.jpg;RegFotografico\I_57\20201025_100321.jpg;RegFotografico\I_57\20201025_100401.jpg;RegFotografico\I_57\20201025_100328.jpg;3.591291667;-76.31833889;PALMASECA - ROZO - EL CERRITO
354;ELE58;CBC;2-nov-20;Box;0;1.3;0.9;14;Bueno;Sin comentarios;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Sin comentarios;RegFotografico\I_58\Mis_coordenadas_GPS_1603637826051.jpg;RegFotografico\I_58\20201025_095810.jpg;RegFotografico\RegVacio.png;RegFotografico\I_58\20201025_095833.jpg;3.591325;-76.31827778;PALMASECA - ROZO - EL CERRITO
355;ELE59;CBC;2-nov-20;Box;0;3.1;2.3;14;Semidestruido;Sin comentarios;Indeterminado;VERDADERO;VERDADERO;Obstruido;VERDADERO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_59\Mis_coordenadas_GPS_1603637541367.jpg;RegFotografico\I_59\20201025_095324.jpg;RegFotografico\I_59\20201025_095506.jpg;RegFotografico\I_59\20201025_095512.jpg;3.592666667;-76.31769722;PALMASECA - ROZO - EL CERRITO
356;ELE60;CBC;2-nov-20;Box;0;1;1;14;Bueno;Sin comentarios;Semidestruido;VERDADERO;FALSO;Agrietado;VERDADERO;FALSO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_60\Mis_coordenadas_GPS_1603637261762.jpg;RegFotografico\I_60\20201025_095049.jpg;RegFotografico\I_60\20201025_095017.jpg;RegFotografico\I_60\20201025_094907.jpg;3.592625;-76.31775278;PALMASECA - ROZO - EL CERRITO
357;ELE61;CBC;2-nov-20;TuboPasant;0.9;0;0;20;Agrietado;Sin comentarios;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_61\Mis_coordenadas_GPS_1603637018009.jpg;RegFotografico\I_61\20201025_094422.jpg;RegFotografico\I_61\20201025_094516.jpg;RegFotografico\I_61\20201025_094430.jpg;3.597119444;-76.31563056;PALMASECA - ROZO - EL CERRITO
358;ELE62;CBC;2-nov-20;TuboPasant;0.9;0;0;20;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_62\Mis_coordenadas_GPS_1603636796739.jpg;RegFotografico\I_62\20201025_094100.jpg;RegFotografico\I_62\20201025_094135.jpg;RegFotografico\I_62\20201025_094106.jpg;3.599097222;-76.31471944;PALMASECA - ROZO - EL CERRITO
359;ELE63;CBC;2-nov-20;Box;0;2;1.1;14;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Agrietado;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_63\Mis_coordenadas_GPS_1603636519903.jpg;RegFotografico\I_63\20201025_093612.jpg;RegFotografico\I_63\20201025_093758.jpg;RegFotografico\I_63\20201025_093619.jpg;3.599472222;-76.31455833;PALMASECA - ROZO - EL CERRITO
361;ELE65;CBC;2-nov-20;TuboPasant;0.9;0;0;40;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_65\Mis_coordenadas_GPS_1603636035091.jpg;RegFotografico\I_65\20201025_092811.jpg;RegFotografico\I_65\20201025_092912.jpg;RegFotografico\I_65\20201025_092820.jpg;3.601641667;-76.31388611;PALMASECA - ROZO - EL CERRITO
362;ELE66;CBC;2-nov-20;TuboPasant;0.9;0;0;14;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Sin comentarios;RegFotografico\I_66\Mis_coordenadas_GPS_1603635891607.jpg;RegFotografico\I_66\20201025_092525.jpg;RegFotografico\I_66\20201025_092557.jpg;RegFotografico\I_66\20201025_092534.jpg;3.593941667;-76.31795556;PALMASECA - ROZO - EL CERRITO
363;ELE67;CBC;2-nov-20;TuboPasant;0.9;0;0;17;Bueno;Sin comentarios;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Sin comentarios;RegFotografico\I_67\Mis_coordenadas_GPS_1603635711726.jpg;RegFotografico\I_67\20201025_092233.jpg;RegFotografico\I_67\20201025_092327.jpg;RegFotografico\I_67\20201025_092241.jpg;3.601730556;-76.31376389;PALMASECA - ROZO - EL CERRITO
364;ELE68;CBC;2-nov-20;TuboPasant;0.9;0;0;14.5;Bueno;Sin comentarios;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Bueno;FALSO;VERDADERO;Sin comentarios;RegFotografico\I_68\Mis_coordenadas_GPS_1603635476063.jpg;RegFotografico\I_68\20201025_091900.jpg;RegFotografico\I_68\20201025_091947.jpg;RegFotografico\I_68\20201025_091908.jpg;3.603613889;-76.31290833;PALMASECA - ROZO - EL CERRITO
365;ELE69;CBC;2-nov-20;TuboPasant;0.9;0;0;17;Bueno;Sin comentarios;Bueno;VERDADERO;VERDADERO;Bueno;VERDADERO;VERDADERO;Agrietado;VERDADERO;FALSO;Sin comentarios;RegFotografico\I_69\Mis_coordenadas_GPS_1603635226297.jpg;RegFotografico\I_69\20201025_091457.jpg;RegFotografico\I_69\20201025_091546.jpg;RegFotografico\I_69\20201025_091511.jpg;3.606966667;-76.31186111;PALMASECA - ROZO - EL CERRITO
